datetime,true_capacity,import_capacity,ZONES,MODEL_YEARS,REP_PERIODS,HOURS,input_load_mw,period,0,PRM,case
2045-01-01 00:00:00,43922.244557709826,11040,CAISO,2045,0,0,45428.334,0,2015-01-01,20.986705252518885,Baseline2_45_CESM2_2015
2045-01-01 01:00:00,41887.798307709825,11040,CAISO,2045,0,1,44053.125,0,2015-01-01,20.145388795255332,Baseline2_45_CESM2_2015
2045-01-01 02:00:00,39749.862182709825,11040,CAISO,2045,0,2,39103.021,0,2015-01-01,29.887310197106824,Baseline2_45_CESM2_2015
2045-01-01 03:00:00,37679.29374520983,11040,CAISO,2045,0,3,34990.282,0,2015-01-01,39.23664217741894,Baseline2_45_CESM2_2015
2045-01-01 04:00:00,35281.00270817863,11040,CAISO,2045,0,4,32568.934,0,2015-01-01,42.22449745570005,Baseline2_45_CESM2_2015
2045-01-01 05:00:00,31638.097865834956,11040,CAISO,2045,0,5,32113.867,0,2015-01-01,32.8961655905063,Baseline2_45_CESM2_2015
2045-01-01 06:00:00,25517.571648573954,11040,CAISO,2045,0,6,33521.806,0,2015-01-01,9.056092170493313,Baseline2_45_CESM2_2015
2045-01-01 07:00:00,40073.23609515458,11040,CAISO,2045,0,7,34727.347,0,2015-01-01,47.184396479105004,Baseline2_45_CESM2_2015
2045-01-01 08:00:00,68431.05039246158,11040,CAISO,2045,0,8,37498.487,0,2015-01-01,111.93135177017028,Baseline2_45_CESM2_2015
2045-01-01 09:00:00,82630.57034120228,11040,CAISO,2045,0,9,39795.164,0,2015-01-01,135.3817924740863,Baseline2_45_CESM2_2015
2045-01-01 10:00:00,95923.27640506355,11040,CAISO,2045,0,10,41565.565,0,2015-01-01,157.33627440181203,Baseline2_45_CESM2_2015
2045-01-01 11:00:00,108685.93667262908,11040,CAISO,2045,0,11,42953.29,0,2015-01-01,178.73519507499677,Baseline2_45_CESM2_2015
2045-01-01 12:00:00,111540.66812996587,11040,CAISO,2045,0,12,43210.811,0,2015-01-01,183.68055422511247,Baseline2_45_CESM2_2015
2045-01-01 13:00:00,114385.87646841611,11040,CAISO,2045,0,13,42444.472,0,2015-01-01,195.50579983281713,Baseline2_45_CESM2_2015
2045-01-01 14:00:00,114968.01526879414,11040,CAISO,2045,0,14,41080.276,0,2015-01-01,206.7360483868077,Baseline2_45_CESM2_2015
2045-01-01 15:00:00,107002.90446753486,11040,CAISO,2045,0,15,39771.392,0,2015-01-01,196.803552833994,Baseline2_45_CESM2_2015
2045-01-01 16:00:00,72525.08640846307,11040,CAISO,2045,0,16,37110.038,0,2015-01-01,125.18189393517483,Baseline2_45_CESM2_2015
2045-01-01 17:00:00,59270.1770903877,11040,CAISO,2045,0,17,39075.595,0,2015-01-01,79.93373380594129,Baseline2_45_CESM2_2015
2045-01-01 18:00:00,57288.1553622627,11040,CAISO,2045,0,18,40716.545,0,2015-01-01,67.8142272687005,Baseline2_45_CESM2_2015
2045-01-01 19:00:00,52441.33074510151,11040,CAISO,2045,0,19,40943.464,0,2015-01-01,55.046311531192174,Baseline2_45_CESM2_2015
2045-01-01 20:00:00,50494.18199034051,11040,CAISO,2045,0,20,41943.123,0,2015-01-01,46.70863204521159,Baseline2_45_CESM2_2015
2045-01-01 21:00:00,47778.56632847583,11040,CAISO,2045,0,21,43510.676,0,2015-01-01,35.1819179469329,Baseline2_45_CESM2_2015
2045-01-01 22:00:00,43339.60623621482,11040,CAISO,2045,0,22,42955.165,0,2015-01-01,26.596199167701535,Baseline2_45_CESM2_2015
2045-01-01 23:00:00,38297.91168637382,11040,CAISO,2045,0,23,42490.415,0,2015-01-01,16.11539140385855,Baseline2_45_CESM2_2015
2045-01-02 00:00:00,36137.978736004574,11040,CAISO,2045,31,0,48390.982,31,2015-01-02,-2.5066721398533094,Baseline2_45_CESM2_2015
2045-01-02 01:00:00,32918.053082926104,11040,CAISO,2045,31,1,45475.162,31,2015-01-02,-3.336126470696009,Baseline2_45_CESM2_2015
2045-01-02 02:00:00,27864.036373477604,11040,CAISO,2045,31,2,39275.658,31,2015-01-02,-0.9461881619460056,Baseline2_45_CESM2_2015
2045-01-02 03:00:00,25811.325736136605,11040,CAISO,2045,31,3,35218.513,31,2015-01-02,4.636234176430464,Baseline2_45_CESM2_2015
