Resources,Category,Multiplier,Storage Duration,Storage Min SoC
CAISO_Biogas,Bio/Geo,1,1,1
CAISO_Biomass,Bio/Geo,1,1,1
CAISO_Geothermal,Bio/Geo,1,1,1
Central_Nevada_Geothermal,Bio/Geo,1,1,1
Greater_Imperial_Geothermal,Bio/Geo,1,1,1
InState_Biomass,Bio/Geo,1,1,1
Inyokern_North_Kramer_Geothermal,Bio/Geo,1,1,1
Northern_California_Geothermal,Bio/Geo,1,1,1
Pacific_Northwest_Geothermal,Bio/Geo,1,1,1
CAISO_CCGT1,Gas,1,1,1
CAISO_CCGT2,Gas,1,1,1
CAISO_CCGT_Remote,Gas,1,1,1
CAISO_Peaker1,Gas,1,1,1
CAISO_Peaker2,Gas,1,1,1
CAISO_Reciprocating_Engine,Gas,1,1,1
CAISO_Hydro,Hydro,1,1,1
CAISO_NW_Hydro to CAISO,Hydro,1,1,1
BANC to CAISO,Imports,1,1,1
IID to CAISO,Imports,1,1,1
LDWP to CAISO,Imports,1,1,1
NW to CAISO,Imports,1,1,1
SW to CAISO,Imports,1,1,1
CAISO_Nuclear,Nuclear,1,1,1
Morro_Bay_Offshore_Wind,Offshore Wind,1,1,1
CAISO_Shed_DR_Existing,Shed DR,1,1,1
Arizona_Solar,Solar,1,1,1
CAISO_Solar,Solar,1,1,1
Customer_PV,Solar,1,1,1
Greater_Imperial_Solar,Solar,1,1,1
Greater_Kramer_Solar,Solar,1,1,1
Greater_LA_Solar,Solar,1,1,1
Northern_California_Solar,Solar,1,1,1
Riverside_Solar,Solar,1,1,1
Southern_NV_Eldorado_Solar,Solar,1,1,1
Southern_PGAE_Solar,Solar,1,1,1
Tehachapi_Solar,Solar,1,1,1
Tehachapi_Wind,Solar,1,1,1
CAISO_Adiabatic_CAES_24hr,Storage,0.0375,24,0.1
CAISO_BTM_Li_Battery,Storage,1,1,0
CAISO_Flow_Battery_8hr_Dispatch,Storage,0.1125,8,0.1
CAISO_Li_Battery_4hr_Baseline,Storage,0.231958763,3.88,0.1
CAISO_Li_Battery_4hr_Dispatch,Storage,0.225,4,0.1
CAISO_Li_Battery_8hr_Baseline,Storage,0.093167702,9.66,0.1
CAISO_Li_Battery_8hr_Dispatch,Storage,0.1125,8,0.1
CAISO_New_Pumped_Storage_12hr,Storage,0.083333333,12,0
CAISO_Pumped_Hydro,Storage,0.0078125,128,0
Baja_California_Wind,Wind,1,1,1
CAISO_Wind,Wind,1,1,1
Central_Valley_North_Los_Banos_Wind,Wind,1,1,1
Greater_Imperial_Wind,Wind,1,1,1
Idaho_Wind,Wind,1,1,1
New_Mexico_Wind,Wind,1,1,1
Northern_California_Wind,Wind,1,1,1
Solano_Wind,Wind,1,1,1
Southern_NV_Eldorado_Wind,Wind,1,1,1
Wyoming_Wind,Wind,1,1,1
